np_tag_id,record_id,table_id,title,description
225,9551,1,"Australia to Samoa: SDG_3_SUM 12002734.0",""
226,9608,1,"Australia to Senegal: SDG_3_SUM 5557.5",""
227,9690,1,"Australia to Solomon Islands: SDG_3_SUM 46839637.0",""
228,9738,1,"Australia to Somalia: SDG_3_SUM 1542626.0",""
229,9767,1,"Australia to South Africa: SDG_3_SUM 1691503.0",""
230,9810,1,"Australia to South Sudan: SDG_3_SUM 3105576.5",""
231,9837,1,"Australia to Sri Lanka: SDG_3_SUM 2510599.667",""
232,9883,1,"Australia to Sudan: SDG_3_SUM 2411207.5",""
233,9925,1,"Australia to Syria: SDG_3_SUM 11645912.0",""
234,9957,1,"Australia to Tanzania: SDG_3_SUM 8580669.5",""
235,9995,1,"Australia to Thailand: SDG_3_SUM 2475657.5",""
236,10042,1,"Australia to Timor-Leste: SDG_3_SUM 24729886.25",""
237,10106,1,"Australia to Tonga: SDG_3_SUM 6650366.0",""
238,10192,1,"Australia to Tuvalu: SDG_3_SUM 313237.5",""
239,10233,1,"Australia to Uganda: SDG_3_SUM 1839411.5",""
240,10289,1,"Australia to United Kingdom: SDG_3_SUM 162462103.0",""
241,10354,1,"Australia to Vanuatu: SDG_3_SUM 16787613.5",""
242,10408,1,"Australia to Viet Nam: SDG_3_SUM 32782462.0",""
243,10470,1,"Australia to Zambia: SDG_3_SUM 146332.0",""
244,10506,1,"Australia to Zimbabwe: SDG_3_SUM 311694.0",""
245,215,1,"SDG_4_SUM",""
246,6898,1,"Australia to Afghanistan: SDG_4_SUM 21134695.0",""
247,6962,1,"Australia to Algeria: SDG_4_SUM 89791.0",""
248,6971,1,"Australia to Angola: SDG_4_SUM 261642.0",""
249,6982,1,"Australia to Antigua and Barbuda: SDG_4_SUM 136520.0",""
250,6997,1,"Australia to Argentina: SDG_4_SUM 1163046.0",""
251,7025,1,"Australia to Bangladesh: SDG_4_SUM 99253057.0",""
252,7067,1,"Australia to Barbados: SDG_4_SUM 3823565.0",""
253,7081,1,"Australia to Belize: SDG_4_SUM 196168.0",""
254,7101,1,"Australia to Benin: SDG_4_SUM 143840.0",""
255,7113,1,"Australia to Bhutan: SDG_4_SUM 20279442.0",""
256,7144,1,"Australia to Bolivia: SDG_4_SUM 56232.0",""
257,7177,1,"Australia to Botswana: SDG_4_SUM 3007994.0",""
258,7203,1,"Australia to Brazil: SDG_4_SUM 1268138.0",""
259,7233,1,"Australia to Burkina Faso: SDG_4_SUM 274662.0",""
260,7254,1,"Australia to Burundi: SDG_4_SUM 384850.0",""
261,7281,1,"Australia to Cambodia: SDG_4_SUM 16355746.0",""
262,7327,1,"Australia to Cameroon: SDG_4_SUM 459985.0",""
263,7354,1,"Australia to Cape Verde: SDG_4_SUM 155995.0",""
264,7372,1,"Australia to Central African Republic: SDG_4_SUM 188490.0",""
265,7389,1,"Australia to Chad: SDG_4_SUM 134636.0",""
266,7402,1,"Australia to Chile: SDG_4_SUM 985491.0",""
267,7423,1,"Australia to China: SDG_4_SUM 19986588.5",""
268,7468,1,"Australia to Colombia: SDG_4_SUM 1338976.0",""
269,7489,1,"Australia to Comoros: SDG_4_SUM 144523.0",""
270,7506,1,"Australia to Congo: SDG_4_SUM 403907.0",""
271,7512,1,"Australia to Costa Rica: SDG_4_SUM 223416.0",""
272,7528,1,"Australia to Cuba: SDG_4_SUM 139657.0",""
273,7542,1,"Australia to DR Congo: SDG_4_SUM 134636.0",""
274,7566,1,"Australia to Djibouti: SDG_4_SUM 179970.0",""
275,7576,1,"Australia to Dominica: SDG_4_SUM 308282.0",""
276,7594,1,"Australia to Dominican Republic: SDG_4_SUM 102842.0",""
277,7612,1,"Australia to Ecuador: SDG_4_SUM 227599.0",""
278,7638,1,"Australia to Egypt: SDG_4_SUM 543905.0",""
279,7670,1,"Australia to El Salvador: SDG_4_SUM 208832.0",""
280,7685,1,"Australia to Equatorial Guinea: SDG_4_SUM 35901.0",""
281,7704,1,"Australia to Eswatini: SDG_4_SUM 1681445.0",""
282,7735,1,"Australia to Ethiopia: SDG_4_SUM 1712122.5",""
283,7775,1,"Australia to Fiji: SDG_4_SUM 42898656.0",""
284,7821,1,"Australia to France: SDG_4_SUM 118093.0",""
285,7840,1,"Australia to Gabon: SDG_4_SUM 39364.0",""
286,7847,1,"Australia to Gambia: SDG_4_SUM 1406912.0",""
287,7859,1,"Australia to Germany: SDG_4_SUM 47649.0",""
288,7871,1,"Australia to Ghana: SDG_4_SUM 3461112.5",""
289,7906,1,"Australia to Grenada: SDG_4_SUM 283250.0",""
290,7922,1,"Australia to Guatemala: SDG_4_SUM 253276.0",""
291,7939,1,"Australia to Guinea: SDG_4_SUM 188490.0",""
292,7967,1,"Australia to Guyana: SDG_4_SUM 461174.0",""
293,7989,1,"Australia to Haiti: SDG_4_SUM 187880.0",""
294,8016,1,"Australia to Honduras: SDG_4_SUM 166604.0",""
295,8041,1,"Australia to India: SDG_4_SUM 10894633.0",""
296,8091,1,"Australia to Indonesia: SDG_4_SUM 249056575.5",""
297,8136,1,"Australia to Iran: SDG_4_SUM 789926.0",""
298,8160,1,"Australia to Iraq: SDG_4_SUM 26635066.0",""
299,8184,1,"Australia to Ivory Coast: SDG_4_SUM 682541.0",""
300,8205,1,"Australia to Jamaica: SDG_4_SUM 474908.0",""
301,8224,1,"Australia to Jordan: SDG_4_SUM 393261.5",""
302,8260,1,"Australia to Kenya: SDG_4_SUM 5630515.5",""
303,8301,1,"Australia to Kiribati: SDG_4_SUM 27728950.5",""
304,8371,1,"Australia to Laos: SDG_4_SUM 39164138.0",""
305,8418,1,"Australia to Lebanon: SDG_4_SUM 192309.5",""
306,8454,1,"Australia to Lesotho: SDG_4_SUM 1916591.5",""
307,8482,1,"Australia to Liberia: SDG_4_SUM 1900604.0",""
308,8509,1,"Australia to Madagascar: SDG_4_SUM 403907.0",""
309,8534,1,"Australia to Malawi: SDG_4_SUM 3446263.0",""
310,8575,1,"Australia to Malaysia: SDG_4_SUM 3264447.0",""
311,8614,1,"Australia to Maldives: SDG_4_SUM 9046756.5",""
312,8643,1,"Australia to Mali: SDG_4_SUM 914748.0",""
313,8663,1,"Australia to Marshall Islands: SDG_4_SUM 1933667.0",""
314,8703,1,"Australia to Mauritania: SDG_4_SUM 80783.0",""
315,8711,1,"Australia to Mauritius: SDG_4_SUM 1091210.0",""
316,8734,1,"Australia to Mexico: SDG_4_SUM 2233901.0",""
317,8765,1,"Australia to Micronesia: SDG_4_SUM 1220327.0",""
318,8806,1,"Australia to Mongolia: SDG_4_SUM 13699850.0",""
319,8853,1,"Australia to Morocco: SDG_4_SUM 287673.0",""
320,8871,1,"Australia to Mozambique: SDG_4_SUM 5060123.0",""
321,8909,1,"Australia to Myanmar: SDG_4_SUM 16438844.0",""
322,8955,1,"Australia to Namibia: SDG_4_SUM 1174719.5",""
323,8975,1,"Australia to Nauru: SDG_4_SUM 7733983.0",""
324,9016,1,"Australia to Nepal: SDG_4_SUM 24023390.5",""
325,9061,1,"Australia to New Zealand: SDG_4_SUM 5030437.0",""
326,9101,1,"Australia to Nicaragua: SDG_4_SUM 98015.0",""
327,9117,1,"Australia to Niger: SDG_4_SUM 222343.0",""
328,9135,1,"Australia to Nigeria: SDG_4_SUM 22702109.0",""
329,9170,1,"Australia to North Korea: SDG_4_SUM 193042.0",""
330,9187,1,"Australia to Pakistan: SDG_4_SUM 73342021.0",""
331,9233,1,"Australia to Palau: SDG_4_SUM 854826.5",""
332,9272,1,"Australia to Palestine: SDG_4_SUM 8302701.0",""
333,9308,1,"Australia to Panama: SDG_4_SUM 37686.0",""
334,9322,1,"Australia to Papua New Guinea: SDG_4_SUM 263772429.5",""
335,9371,1,"Australia to Paraguay: SDG_4_SUM 1293979.0",""
336,9391,1,"Australia to Peru: SDG_4_SUM 521787.0",""
337,9429,1,"Australia to Philippines: SDG_4_SUM 128055257.5",""
338,9478,1,"Australia to Rwanda: SDG_4_SUM 1788335.0",""
339,9506,1,"Australia to Saint Kitts and Nevis: SDG_4_SUM 321791.0",""
340,9515,1,"Australia to Saint Lucia: SDG_4_SUM 401697.0",""
341,9533,1,"Australia to Saint Vincent and the Grenadines: SDG_4_SUM 333147.0",""
342,9552,1,"Australia to Samoa: SDG_4_SUM 30048791.0",""
343,9592,1,"Australia to Sao Tome and Principe: SDG_4_SUM 134636.0",""
344,9609,1,"Australia to Senegal: SDG_4_SUM 162510.0",""
345,9651,1,"Australia to Seychelles: SDG_4_SUM 856643.0",""
346,9667,1,"Australia to Sierra Leone: SDG_4_SUM 1277774.0",""
347,9691,1,"Australia to Solomon Islands: SDG_4_SUM 31808064.5",""
348,9768,1,"Australia to South Africa: SDG_4_SUM 6036670.0",""
349,9811,1,"Australia to South Sudan: SDG_4_SUM 215418.0",""
350,9838,1,"Australia to Sri Lanka: SDG_4_SUM 31846055.0",""
