name,id,lat,lon,population,number,score,parent_country,success,is_altername
Denver,0000199328,39.73915,-104.9847,715522,4.0,0.2702702702702703,USA,True,False
Boulder,0000199277,40.01499,-105.27055,1207,1.0,0.5263157894736842,USA,True,False
Wyoming,0000216938,43.0759678,-107.2902839,1000000,2.0,0.2258905299739357,USA,True,False
Colorado,0000199251,39.5500507,-105.7820674,5773714,3.0,1.0,USA,True,False
West Virginia,0000216227,38.5976262,-80.4549026,1793716,3.0,1.0,USA,True,False
Pittsburgh,0000212240,40.44062,-79.99589,302971,2.0,1.0,USA,True,False
Monongalia County,0000216345,39.63028,-80.04654,105822,4.0,1.0,USA,True,False
Preston County,0000216379,39.4693,-79.66816,34216,5.0,1.0,USA,True,False
Tucker County,0000216417,39.1136,-79.56497,6762,6.0,1.0,USA,True,False
Fairmont,0000201671,41.55614,-88.05923,594,7.0,0.2702702702702703,USA,True,False
Morgantown,0000203701,37.2256,-86.6836,826,8.0,0.38167938931297707,USA,True,False
Kingwood,0000216316,39.47176,-79.68339,2980,9.0,1.0,USA,True,False
Terra Alta,0000216415,39.44565,-79.54644,1493,10.0,1.0,USA,True,False
Saint George,0000200441,28.05641,-82.72788,72897,12.0,0.23584905660377356,USA,True,False
Canaan,0000199552,42.02731,-73.32928,1212,13.0,0.5263157894736842,USA,True,False
Alaska,0000197513,64.2008413,-149.4936733,733391,4.0,1.0,USA,True,False
Michigan,0000205217,44.3148443,-85.6023643,10077331,6.0,1.0,USA,True,False
South Carolina,0000212864,33.836081,-81.1637245,5118425,7.0,1.0,USA,True,False
California,0000198127,36.778261,-119.4179324,1000000,4.0,0.3845039012357364,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,5.0,0.10478800580364345,USA,True,False
Washington,0000215793,47.7510741,-120.7401385,1000000,2.0,0.10478800580364345,USA,True,False
District of Columbia,0000199788,38.9071923,-77.0368707,689545,3.0,1.0,USA,True,True
California,0000198127,36.778261,-119.4179324,1000000,4.0,0.3845039012357364,USA,True,False
New York,0000208422,40.7127753,-74.0059728,20201249,5.0,1.0,USA,True,False
Texas,0000213703,31.9685988,-99.9018131,29145505,6.0,1.0,USA,True,False
Florida,0000199794,27.6648274,-81.5157535,1000000,7.0,0.5628344237673027,USA,True,False
